species,year,season,fleet,catch,catch_se
pacific sanddab,1896,1,discard-fleet,0,0.01
pacific sanddab,1897,1,discard-fleet,0,0.01
pacific sanddab,1898,1,discard-fleet,0,0.01
pacific sanddab,1899,1,discard-fleet,0,0.01
pacific sanddab,1900,1,discard-fleet,0,0.01
pacific sanddab,1901,1,discard-fleet,0,0.01
pacific sanddab,1902,1,discard-fleet,0,0.01
pacific sanddab,1903,1,discard-fleet,0,0.01
pacific sanddab,1904,1,discard-fleet,0,0.01
pacific sanddab,1905,1,discard-fleet,0,0.01
pacific sanddab,1906,1,discard-fleet,0,0.01
pacific sanddab,1907,1,discard-fleet,0,0.01
pacific sanddab,1908,1,discard-fleet,0,0.01
pacific sanddab,1909,1,discard-fleet,0,0.01
pacific sanddab,1910,1,discard-fleet,0,0.01
pacific sanddab,1911,1,discard-fleet,0,0.01
pacific sanddab,1912,1,discard-fleet,0,0.01
pacific sanddab,1913,1,discard-fleet,0,0.01
pacific sanddab,1914,1,discard-fleet,0,0.01
pacific sanddab,1915,1,discard-fleet,0,0.01
pacific sanddab,1916,1,discard-fleet,0,0.01
pacific sanddab,1917,1,discard-fleet,0,0.01
pacific sanddab,1918,1,discard-fleet,0,0.01
pacific sanddab,1919,1,discard-fleet,0,0.01
pacific sanddab,1920,1,discard-fleet,0,0.01
pacific sanddab,1921,1,discard-fleet,0,0.01
pacific sanddab,1922,1,discard-fleet,0,0.01
pacific sanddab,1923,1,discard-fleet,0,0.01
pacific sanddab,1924,1,discard-fleet,0,0.01
pacific sanddab,1925,1,discard-fleet,0,0.01
pacific sanddab,1926,1,discard-fleet,0,0.01
pacific sanddab,1928,1,discard-fleet,0,0.01
pacific sanddab,1929,1,discard-fleet,0,0.01
pacific sanddab,1930,1,discard-fleet,0,0.01
pacific sanddab,1931,1,discard-fleet,0,0.01
pacific sanddab,1932,1,discard-fleet,0.1238,0.01
pacific sanddab,1933,1,discard-fleet,0.0577,0.01
pacific sanddab,1934,1,discard-fleet,0.0215,0.01
pacific sanddab,1935,1,discard-fleet,0.0614,0.01
pacific sanddab,1936,1,discard-fleet,0.2399,0.01
pacific sanddab,1937,1,discard-fleet,1.2146,0.01
pacific sanddab,1938,1,discard-fleet,0.0249,0.01
pacific sanddab,1939,1,discard-fleet,3.7811,0.01
pacific sanddab,1940,1,discard-fleet,6.7928,0.01
pacific sanddab,1941,1,discard-fleet,8.1073,0.01
pacific sanddab,1942,1,discard-fleet,20.914,0.01
pacific sanddab,1943,1,discard-fleet,52.8191,0.01
pacific sanddab,1944,1,discard-fleet,9.338,0.01
pacific sanddab,1945,1,discard-fleet,4.0396,0.01
pacific sanddab,1946,1,discard-fleet,4.6534,0.01
pacific sanddab,1947,1,discard-fleet,10.4258,0.01
pacific sanddab,1948,1,discard-fleet,17.6597,0.01
pacific sanddab,1949,1,discard-fleet,23.3421,0.01
pacific sanddab,1950,1,discard-fleet,1.5467,0.01
pacific sanddab,1951,1,discard-fleet,2.3632,0.01
pacific sanddab,1952,1,discard-fleet,1.0695,0.01
pacific sanddab,1953,1,discard-fleet,6.4311,0.01
pacific sanddab,1954,1,discard-fleet,7.7748,0.01
pacific sanddab,1955,1,discard-fleet,12.1348,0.01
pacific sanddab,1956,1,discard-fleet,5.8024,0.01
