"species","year","landings_mt","discard_mt","catch_mt"
"pacific sanddab",1896,0,0,0
"pacific sanddab",1897,0,0,0
"pacific sanddab",1898,0,0,0
"pacific sanddab",1899,0,0,0
"pacific sanddab",1900,0,0,0
"pacific sanddab",1901,0,0,0
"pacific sanddab",1902,0,0,0
"pacific sanddab",1903,0,0,0
"pacific sanddab",1904,0,0,0
"pacific sanddab",1905,0,0,0
"pacific sanddab",1906,0,0,0
"pacific sanddab",1907,0,0,0
"pacific sanddab",1908,0,0,0
"pacific sanddab",1909,0,0,0
"pacific sanddab",1910,0,0,0
"pacific sanddab",1911,0,0,0
"pacific sanddab",1912,0,0,0
"pacific sanddab",1913,0,0,0
"pacific sanddab",1914,0,0,0
"pacific sanddab",1915,0,0,0
"pacific sanddab",1916,0,0,0
"pacific sanddab",1917,0,0,0
"pacific sanddab",1918,0,0,0
"pacific sanddab",1919,0,0,0
"pacific sanddab",1920,0,0,0
"pacific sanddab",1921,0,0,0
"pacific sanddab",1922,0,0,0
"pacific sanddab",1923,0,0,0
"pacific sanddab",1924,0,0,0
"pacific sanddab",1925,0,0,0
"pacific sanddab",1926,0,0,0
"pacific sanddab",1928,0,0,0
"pacific sanddab",1929,0,0,0
"pacific sanddab",1930,1e-04,0,1e-04
"pacific sanddab",1931,1e-04,0,1e-04
"pacific sanddab",1932,0.4388,0.1238,0.5626
"pacific sanddab",1933,0.2044,0.0577,0.2621
"pacific sanddab",1934,0.0764,0.0215,0.0979
"pacific sanddab",1935,0.2176,0.0614,0.279
"pacific sanddab",1936,0.8506,0.2399,1.0905
"pacific sanddab",1937,4.3062,1.2146,5.5208
"pacific sanddab",1938,0.0884,0.0249,0.1133
"pacific sanddab",1939,13.4057,3.7811,17.1868
"pacific sanddab",1940,24.0834,6.7928,30.8762
"pacific sanddab",1941,28.7439,8.1073,36.8512
"pacific sanddab",1942,74.1498,20.914,95.0638
"pacific sanddab",1943,187.2677,52.8191,240.0868
"pacific sanddab",1944,33.1075,9.338,42.4455
"pacific sanddab",1945,14.3222,4.0396,18.3618
"pacific sanddab",1946,16.4983,4.6534,21.1517
"pacific sanddab",1947,36.9643,10.4258,47.3901
"pacific sanddab",1948,62.6114,17.6597,80.2711
"pacific sanddab",1949,82.7585,23.3421,106.1006
"pacific sanddab",1950,5.4837,1.5467,7.0304
"pacific sanddab",1951,8.3786,2.3632,10.7418
"pacific sanddab",1952,3.7918,1.0695,4.8613
"pacific sanddab",1953,22.8011,6.4311,29.2322
"pacific sanddab",1954,27.5652,7.7748,35.34
"pacific sanddab",1955,43.0231,12.1348,55.1579
"pacific sanddab",1956,20.5722,5.8024,26.3746
"pacific sanddab",1957,39.6769,11.1909,50.8678
"pacific sanddab",1958,81.2172,22.9074,104.1246
