"species","year","state","gear_group","landings_mt"
"stripetail rockfish",1981,"C","fixed-gear",0.2361
"stripetail rockfish",1981,"C","trawl",29.0522
"stripetail rockfish",1982,"C","trawl",35.2745
"stripetail rockfish",1983,"C","fixed-gear",0.0657
"stripetail rockfish",1983,"C","trawl",31.6985
"stripetail rockfish",1984,"C","trawl",23.2089
"stripetail rockfish",1984,"C","fixed-gear",0.003
"stripetail rockfish",1984,"W","trawl",0.2878
"stripetail rockfish",1985,"C","fixed-gear",0.194
"stripetail rockfish",1985,"C","trawl",45.8989
"stripetail rockfish",1986,"C","fixed-gear",2.8748
"stripetail rockfish",1986,"C","trawl",15.9883
"stripetail rockfish",1987,"C","fixed-gear",3.4818
"stripetail rockfish",1987,"C","trawl",22.6792
"stripetail rockfish",1987,"O","trawl",0.8151
"stripetail rockfish",1988,"C","fixed-gear",3.9447
"stripetail rockfish",1988,"C","trawl",15.3236
"stripetail rockfish",1988,"O","trawl",2.4104
"stripetail rockfish",1989,"C","fixed-gear",1.8525
"stripetail rockfish",1989,"C","trawl",25.3805
"stripetail rockfish",1989,"O","trawl",0.3013
"stripetail rockfish",1990,"C","fixed-gear",2.2384
"stripetail rockfish",1990,"C","trawl",29.5424
"stripetail rockfish",1990,"O","trawl",0.1036
"stripetail rockfish",1991,"C","trawl",20.475
"stripetail rockfish",1991,"C","fixed-gear",0.0617
"stripetail rockfish",1991,"O","trawl",2.2693
"stripetail rockfish",1992,"C","trawl",2.627
"stripetail rockfish",1992,"C","fixed-gear",0.239
"stripetail rockfish",1992,"O","trawl",1.7228
"stripetail rockfish",1993,"C","trawl",36.6259
"stripetail rockfish",1993,"C","fixed-gear",0.2337
"stripetail rockfish",1993,"O","trawl",5.223
"stripetail rockfish",1994,"C","trawl",101.4361
"stripetail rockfish",1994,"C","fixed-gear",0.313
"stripetail rockfish",1994,"O","trawl",10.1411
"stripetail rockfish",1995,"C","trawl",45.3924
"stripetail rockfish",1995,"C","fixed-gear",0.7385
"stripetail rockfish",1995,"O","trawl",1.4297
"stripetail rockfish",1996,"C","trawl",15.4564
"stripetail rockfish",1996,"C","fixed-gear",0.0139
"stripetail rockfish",1996,"O","trawl",1.2203
"stripetail rockfish",1997,"C","trawl",16.8674
"stripetail rockfish",1997,"C","fixed-gear",0.1829
"stripetail rockfish",1997,"O","trawl",3.787
"stripetail rockfish",1998,"C","trawl",41.2024
"stripetail rockfish",1998,"C","fixed-gear",0.0862
"stripetail rockfish",1998,"O","trawl",2.8051
"stripetail rockfish",1999,"O","trawl",2.7874
"stripetail rockfish",2000,"C","trawl",2.0053
"stripetail rockfish",2000,"C","fixed-gear",0.0663
"stripetail rockfish",2000,"O","trawl",0.3107
"stripetail rockfish",2001,"C","trawl",4.4859
"stripetail rockfish",2001,"O","trawl",0.3876
"stripetail rockfish",2002,"C","trawl",0.915
"stripetail rockfish",2002,"O","trawl",0.2459
"stripetail rockfish",2003,"C","trawl",0.0378
"stripetail rockfish",2003,"O","trawl",0.0875
"stripetail rockfish",2004,"C","trawl",0.1124
"stripetail rockfish",2005,"C","trawl",0.2653
"stripetail rockfish",2005,"O","trawl",0.051
"stripetail rockfish",2006,"C","trawl",0.0036
"stripetail rockfish",2006,"O","trawl",0.1534
"stripetail rockfish",2007,"C","trawl",0.0095
"stripetail rockfish",2007,"C","fixed-gear",0.0032
"stripetail rockfish",2007,"O","trawl",0.0185
"stripetail rockfish",2008,"C","trawl",0.0061
"stripetail rockfish",2008,"O","trawl",0.0019
"stripetail rockfish",2009,"C","trawl",0.0244
"stripetail rockfish",2009,"O","trawl",0.034
"stripetail rockfish",2010,"C","trawl",0.0018
"stripetail rockfish",2010,"O","trawl",0.003
"stripetail rockfish",2011,"C","fixed-gear",5e-04
"stripetail rockfish",2011,"O","fixed-gear",0.0073
"stripetail rockfish",2011,"O","trawl",0.284
"stripetail rockfish",2012,"C","trawl",0.2972
"stripetail rockfish",2012,"C","fixed-gear",0.0014
"stripetail rockfish",2012,"O","fixed-gear",2e-04
"stripetail rockfish",2012,"O","trawl",0.2498
"stripetail rockfish",2013,"C","fixed-gear",0.0036
"stripetail rockfish",2013,"C","trawl",0.4663
"stripetail rockfish",2013,"O","trawl",0.5181
"stripetail rockfish",2014,"C","fixed-gear",5e-04
"stripetail rockfish",2014,"C","trawl",0.5156
"stripetail rockfish",2014,"O","trawl",0.2605
"stripetail rockfish",2014,"W","trawl",0.0471
"stripetail rockfish",2015,"C","trawl",0.248
"stripetail rockfish",2015,"O","trawl",0.174
"stripetail rockfish",2016,"C","trawl",0.6526
"stripetail rockfish",2016,"O","fixed-gear",0.0026
"stripetail rockfish",2016,"O","trawl",0.0139
"stripetail rockfish",2017,"C","trawl",1.3538
"stripetail rockfish",2017,"O","trawl",0.7821
"stripetail rockfish",2018,"C","trawl",1.483
"stripetail rockfish",2018,"O","trawl",0.394
"stripetail rockfish",2018,"O","fixed-gear",0.001
"stripetail rockfish",2019,"C","trawl",2.7377
"stripetail rockfish",2019,"C","fixed-gear",0.0059
"stripetail rockfish",2019,"O","fixed-gear",0.0109
"stripetail rockfish",2019,"O","trawl",1.3843
"stripetail rockfish",2020,"C","trawl",2.7044
"stripetail rockfish",2020,"O","trawl",2.6731
"stripetail rockfish",2021,"C","trawl",1.0177
"stripetail rockfish",2021,"O","trawl",5.0078
"stripetail rockfish",2021,"O","fixed-gear",0.0022
"stripetail rockfish",2022,"C","trawl",1.3692
"stripetail rockfish",2022,"O","trawl",5.0726
"stripetail rockfish",2022,"W","trawl",0.3628
"stripetail rockfish",2023,"C","trawl",3.3435
"stripetail rockfish",2023,"O","trawl",7.1882
"stripetail rockfish",2023,"O","fixed-gear",0.001
