"species","year","discard","landings","discard_rate","source"
"pacific sanddab",2002,658.746,231.2311,0.7402,"GEMM"
"pacific sanddab",2003,370.5191,711.0461,0.3426,"GEMM"
"pacific sanddab",2004,173.5004,480.8767,0.2651,"GEMM"
"pacific sanddab",2005,247.5197,233.7491,0.5143,"GEMM"
"pacific sanddab",2006,344.2839,410.0118,0.4564,"GEMM"
"pacific sanddab",2007,311.137,282.4123,0.5242,"GEMM"
"pacific sanddab",2008,100.3556,194.4703,0.3404,"GEMM"
"pacific sanddab",2009,406.83,276.8569,0.5951,"GEMM"
"pacific sanddab",2010,189.1179,155.8365,0.5482,"GEMM"
"pacific sanddab",2011,98.7251,142.5677,0.4092,"GEMM"
"pacific sanddab",2012,75.0305,149.857,0.3336,"GEMM"
"pacific sanddab",2013,71.9865,145.9547,0.3303,"GEMM"
"pacific sanddab",2014,120.2932,211.0789,0.363,"GEMM"
"pacific sanddab",2015,133.9656,162.5304,0.4518,"GEMM"
"pacific sanddab",2016,124.2638,94.3771,0.5683,"GEMM"
"pacific sanddab",2017,61.7675,75.095,0.4513,"GEMM"
"pacific sanddab",2018,58.3047,91.4326,0.3894,"GEMM"
"pacific sanddab",2019,31.2475,51.0916,0.3795,"GEMM"
"pacific sanddab",2020,18.8527,24.2357,0.4375,"GEMM"
"pacific sanddab",2021,34.86,52.4412,0.3993,"GEMM"
"pacific sanddab",2022,52.4615,30.3541,0.6335,"GEMM"
"pacific sanddab",2023,40.1218,54.5704,0.4237,"GEMM"
"pacific sanddab",2024,37.9068,46.2486,0.4504,"GEMM"
"pacific sanddab",2025,34.2089,58.972,0.3671,"GEMM"
"stripetail rockfish",2002,50.0422,1.7759,0.9657,"GEMM"
"stripetail rockfish",2003,3.5686,1.4934,0.705,"GEMM"
"stripetail rockfish",2004,18.9309,0.1465,0.9923,"GEMM"
"stripetail rockfish",2005,1.8278,0.39,0.8242,"GEMM"
"stripetail rockfish",2006,14.6721,0.157,0.9894,"GEMM"
"stripetail rockfish",2007,14.7902,0.0503,0.9966,"GEMM"
"stripetail rockfish",2008,14.3791,0.008,0.9994,"GEMM"
"stripetail rockfish",2009,12.3011,0.0584,0.9953,"GEMM"
"stripetail rockfish",2010,18.8918,0.0048,0.9997,"GEMM"
"stripetail rockfish",2011,3.1328,0.2917,0.9148,"GEMM"
"stripetail rockfish",2012,13.1957,0.5486,0.9601,"GEMM"
"stripetail rockfish",2013,18.2057,0.9897,0.9484,"GEMM"
"stripetail rockfish",2014,14.1074,0.8235,0.9448,"GEMM"
"stripetail rockfish",2015,16.3417,0.4212,0.9749,"GEMM"
"stripetail rockfish",2016,8.2592,0.6707,0.9249,"GEMM"
"stripetail rockfish",2017,27.3874,2.1356,0.9277,"GEMM"
"stripetail rockfish",2018,48.2718,2.3784,0.953,"GEMM"
"stripetail rockfish",2019,61.3196,4.1323,0.9369,"GEMM"
"stripetail rockfish",2020,62.7194,5.6132,0.9179,"GEMM"
"stripetail rockfish",2021,80.535,6.6235,0.924,"GEMM"
"stripetail rockfish",2022,40.4191,6.83,0.8554,"GEMM"
"stripetail rockfish",2023,39.3001,11.189,0.7784,"GEMM"
"stripetail rockfish",2024,34.7868,11.4625,0.7522,"GEMM"
"stripetail rockfish",2025,39.1341,7.568,0.838,"GEMM"
