"year","month","fleet","sex","partition","input_n","f8","f10","f12","f14","f16","f18","f20","f22","f24","f26","f28","f30","f32","m8","m10","m12","m14","m16","m18","m20","m22","m24","m26","m28","m30","m32"
2001,7,"landed-comps",0,2,14.12,0,0,0,0,0,0,0,0,1692.5477,12375.4314,9636.9419,1455.7066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,7,"landed-comps",0,2,7.06,0,0,0,0,0,0,1871.0529,9355.2643,9355.2643,41163.1628,22452.6343,1871.0529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,"landed-comps",0,2,14.12,0,0,0,0,0,0,0,9355.2643,65486.8499,89810.537,59873.6913,7484.2114,1871.0529,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,"landed-comps",0,2,6.14,0,0,0,0,0,0,0,453.111,1359.3329,6138.196,4077.9986,1359.3329,453.111,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,"landed-comps",0,2,20.25,0,0,0,0,0,0,0,1396.863,15598.275,34062.996,19273.4403,4012.8002,7760.4699,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,"landed-comps",0,2,23.008,0,0,0,0,0,0,817.0236,19.4529,11492.3221,37122.2845,19141.5694,1758.2348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,"landed-comps",0,2,26.528,0,0,0,0,0,0,0,2101.1337,29074.9435,119828.5978,82616.8309,17271.7873,3432.9781,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,"landed-comps",0,2,41.396,0,0,0,0,0,0,78.6273,3045.1699,13810.9677,43196.2841,38243.1735,16778.7388,2984.9709,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,"landed-comps",0,2,13.108,0,0,0,0,0,0,10295.9026,5626.1662,2690.5331,15330.0347,38092.2504,13136.3928,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,"landed-comps",0,2,9.658,0,0,0,0,0,0,0,6052.3283,8230.4515,5748.3272,2560.3826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,"landed-comps",0,2,17.282,0,0,0,0,0,1797.7291,8089.781,23370.4785,5746.655,3976.0395,3761.8172,1019.5325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,"landed-comps",0,2,10.866,0,0,0,107.347,0,0,111.8842,1189.5927,1058.597,2986.4486,1858.9997,361.4722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,"landed-comps",0,2,1.138,0,0,29.9213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,"landed-comps",0,2,6.484,0,0,23.0219,0,0,10.0973,0,0,87.3648,422.8457,218.9945,0,29.1216,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,"landed-comps",0,2,4.656,0,0,0,14.2346,58.7264,14.2346,3.5586,0,0,0,17.8655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,"landed-comps",0,2,89.486,0,0,0,0,0,428.8925,4018.5412,10910.6531,33651.9432,51144.0034,19728.1035,1072.2602,565.3391,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,"landed-comps",0,2,29.114,0,0,0,0,0,0,957.7479,6010.3145,10246.2076,20922.4812,8644.0067,1041.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,"landed-comps",0,2,12.074,0,0,509.0299,0,0,0,2545.1497,1800.6617,2287.247,4377.1497,1915.003,645.8159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,7,"landed-comps",0,2,21.18,0,0,0,0,0,0,3773.8247,13086.5191,39206.7482,51578.3124,25785.0939,1468.5012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,7,"landed-comps",0,2,1.276,0,0,0,0,568.3852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,7,"landed-comps",0,2,1.138,0,0,0,0,343.3519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,7,"landed-comps",3,2,21.18,0,0,0,0,0,0,1871.0529,0,7484.2114,14968.4228,41163.1628,52389.4799,22452.6343,0,0,0,0,0,0,3742.1057,7484.2114,24323.6871,44905.2685,41163.1628,13097.37,0
1995,7,"landed-comps",3,2,21.18,0,0,0,1687.7117,0,6750.8467,5246.4762,8621.8995,20619.2224,53014.7854,51327.0738,66295.4966,10859.6348,0,0,0,1687.7117,0,1687.7117,1871.0529,12364.0052,35404.304,50960.3914,52060.4385,0,0
1996,7,"landed-comps",3,2,14.12,0,0,0,0,0,0,1871.0529,2656.9193,5800.3851,48311.0939,48423.1874,16428.0623,785.8664,0,0,0,0,0,0,0,2656.9193,17213.9288,25184.6867,15530.1024,6286.9316,785.8664
1997,7,"landed-comps",3,2,70.6,0,0,0,0,0,0,1871.0529,5033.2272,29475.8601,90639.0397,126201.0826,73752.7153,15123.994,0,0,0,0,0,0,0,1962.9006,17429.4928,33881.1561,23311.9756,1871.0529,3742.1057
1998,7,"landed-comps",3,2,63.54,0,0,0,0,0,1901.093,6116.6917,26130.6249,60392.3669,74318.2787,76138.941,19486.5341,0,0,0,0,0,1871.0529,1871.0529,11668.7088,13834.0471,34071.4626,29071.0858,3742.1057,54.9268,0
1999,7,"landed-comps",3,2,28.24,0,0,0,0,0,1420.7509,1420.7509,0,19936.5013,45353.3403,47239.7684,26389.3956,0,0,0,0,0,0,0,1420.7509,4262.2527,6407.7884,6785.5984,2337.2014,0,0
2000,7,"landed-comps",3,2,56.48,0,0,0,0,0,0,1924.3102,4154.7955,28908.0165,75081.8791,38567.5439,9272.5752,1871.0529,0,0,0,0,0,0,3848.6204,20741.3535,15497.2707,11600.1828,2261.1685,93.1456,0
2001,7,"landed-comps",3,2,63.54,0,0,0,0,0,0,1871.0529,6196.7853,18007.9019,36309.0892,63977.2524,10037.3728,0,0,0,0,0,0,1871.0529,9830.8229,11802.2946,4759.9681,13085.9139,2306.7305,24.9746,0
2002,7,"landed-comps",3,2,77.66,0,0,0,0,0,638.9663,638.9663,5372.2853,22797.7079,104290.4656,171753.2241,68137.749,5219.0129,0,0,0,0,638.9663,2555.8651,8028.5275,10525.4689,31213.6858,17678.9753,2570.3426,0,0
2003,7,"landed-comps",3,2,225.92,0,0,0,0,3742.1057,7334.4809,31799.0316,86137.5557,267742.8597,410755.1181,570522.249,191770.9798,14394.2545,0,1871.0529,0,0,7334.4809,16689.7452,87490.2926,116146.1406,187105.3991,127272.0386,19745.7188,4222.3471,0
