"species","year","length_cm","age_years","ovary_id","ovary_proportion_atresia","biologically_mature_certain_indicator","biologically_mature_indicator"
"stripetail rockfish",2015,17,NA,"11964.0",0,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,18,NA,"12179.0",0.01,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,15,NA,"11777.0",0,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,26,NA,"11504.0",0,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,26,NA,"11544.0",0.02,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,23,NA,"12148.0",0.01,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,22,NA,"11904.0",0,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,24,NA,"11826.0",0.01,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,23,NA,"11825.0",0,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,25,NA,"12212.0",0,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,26,NA,"11942.0",0,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,23,NA,"11891.0",0,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,21,NA,"11945.0",0,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,26,NA,"11927.0",0,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,24,NA,"11944.0",0,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,24,NA,"11922.0",0.01,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,20,NA,"11889.0",0,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,20,NA,"11887.0",0.01,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,22,NA,"11841.0",0,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,21,NA,"11874.0",0,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,22,NA,"11453.0",0.01,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,21,NA,"12196.0",0,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,21,NA,"12207.0",0,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,20,NA,"12220.0",0,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,25,NA,"11512.0",0.01,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2015,14,NA,"11983.0",0.2,"Biologically Mature Certain","Not Biologically Mature"
"stripetail rockfish",2015,17,NA,"11952.0",0,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2016,13,NA,"2016-017-175-001-102A",NA,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2016,12.5,NA,"2016-017-175-001-101A",NA,"Biologically Mature Certain","Biologically Mature"
"stripetail rockfish",2016,14.5,NA,"2016-017-183-001-112A",NA,"Biologically Mature Certain","Biologically Mature"
