"year","month","fleet","sex","partition","input_n","f8","f10","f12","f14","f16","f18","f20","f22","f24","f26","f28","f30","f32","m8","m10","m12","m14","m16","m18","m20","m22","m24","m26","m28","m30","m32"
2001,"7","retained-comps",0,2,14.12,0,0,0,0,0,0,0,0,1692.547,12375.4262,9636.9379,1455.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,"7","retained-comps",0,2,7.06,0,0,0,0,0,0,1871.0529,9355.2643,9355.2643,41163.1628,22452.6343,1871.0529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"7","retained-comps",0,2,14.12,0,0,0,0,0,0,0,9355.2643,65486.8499,89810.537,59873.6913,7484.2114,1871.0529,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,"7","retained-comps",0,2,6.14,0,0,0,0,0,0,0,453.111,1359.3329,6138.196,4077.9986,1359.3329,453.111,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,"7","retained-comps",0,2,20.25,0,0,0,0,0,0,0,1396.863,15598.275,34062.996,19273.4403,4012.8002,7760.4699,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"7","retained-comps",0,2,23.008,0,0,0,0,0,0,817.0236,19.4529,11492.3221,37122.2845,19141.5694,1758.2348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"7","retained-comps",0,2,26.528,0,0,0,0,0,0,0,2101.1337,29074.9435,119828.5978,82616.8309,17271.7873,3432.9781,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"7","retained-comps",0,2,41.396,0,0,0,0,0,0,78.6273,3045.1699,13810.9677,43196.2841,38243.1735,16778.7388,2984.9709,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"7","retained-comps",0,2,13.108,0,0,0,0,0,0,10295.9007,5626.1662,2690.5327,15330.0346,38092.2501,13136.3928,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"7","retained-comps",0,2,9.658,0,0,0,0,0,0,0,6052.3283,8230.4515,5748.3272,2560.3826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"7","retained-comps",0,2,17.282,0,0,0,0,0,1797.7291,8089.781,23370.4785,5746.655,3976.0395,3761.8172,1019.5325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"7","retained-comps",0,2,10.866,0,0,0,107.347,0,0,111.8844,1189.5949,1058.599,2986.4541,1859.0031,361.4728,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"7","retained-comps",0,2,1.138,0,0,29.9213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"7","retained-comps",0,2,6.484,0,0,23.0219,0,0,10.0973,0,0,87.3648,422.8457,218.9945,0,29.1216,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"7","retained-comps",0,2,4.656,0,0,0,14.2346,58.7264,14.2346,3.5586,0,0,0,17.8655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"7","retained-comps",0,2,89.486,0,0,0,0,0,428.8925,4018.5412,10910.6531,33651.9432,51144.0034,19728.1035,1072.2602,565.3391,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"7","retained-comps",0,2,29.114,0,0,0,0,0,0,957.7479,6010.3145,10246.2076,20922.4812,8644.0067,1041.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"7","retained-comps",0,2,12.074,0,0,509.0299,0,0,0,2545.1497,1800.6617,2287.247,4377.1497,1915.003,645.8159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
