"year","month","fleet","sex","partition","input_n","f8","f10","f12","f14","f16","f18","f20","f22","f24","f26","f28","f30","f32","m8","m10","m12","m14","m16","m18","m20","m22","m24","m26","m28","m30","m32"
1984,"7","retained-comps",0,2,1.138,0,0,0,0,0,2030.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,"7","retained-comps",0,2,1.138,0,0,0,0,0,0,0,0,2030.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,"7","retained-comps",0,2,1.138,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,"7","retained-comps",0,2,1.138,0,0,0,2030.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,"7","retained-comps",0,2,1.138,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,"7","retained-comps",0,2,8.518,0,0,2030.8,0,0,0,0,6092.4,2030.8,6376.0296,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,"7","retained-comps",0,2,15.002,0,0,0,741.7078,812.8304,0,0,194.1056,2677.2542,1437.9902,5759.6536,161.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"7","retained-comps",0,2,15.14,0,0,0,0,476,1,5653.6,5089.8,2228.8,8704.4,3207.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"7","retained-comps",0,2,6.966,0,0,0,0,0,2185.8,1466,0,0,6417.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"7","retained-comps",0,2,7.208,0,0,0,242,270,0,0,810,2469,4331.6,2030.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"7","retained-comps",0,2,9.622,0,0,0,0,0,0,1212.4,3095.3,1878,4063.8,886.5,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,"7","retained-comps",0,2,4.07,0,0,0,0,191.3333,555,4250.8,555,1110,2222.1333,2413.4667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,"7","retained-comps",0,2,1.138,0,0,0,0,0,0,0,0,0,56.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,"7","retained-comps",0,2,2.656,0,0,0,0,0,0,0,923.5852,692.6889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"7","retained-comps",0,2,8.932,0,0,0,1641,2036.8,2036.8,287,2317.8,2041.8,2036.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"7","retained-comps",0,2,6.726,0,0,0,4.4615,0,4.4615,0,68.8462,44.6154,2066.4923,4.4615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"7","retained-comps",0,2,12.21,0,0,0,4039.1111,1,0,12,0,16.9683,61.1825,13.9048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"7","retained-comps",0,2,18.074,0,0,1.0714,1.0714,1.0714,95.4762,11.5,916.2857,79,1622.7619,182.8095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"7","retained-comps",0,2,11.174,0,0,0,217,0,1269.5,6784.3,3868.3333,28.6667,49,14.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"7","retained-comps",0,2,4.794,0,15,0,0,24,1014.5,1014.5,0,3043.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"7","retained-comps",0,2,7.242,0,0,0,0,435,2900.8,3461.8,756,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"7","retained-comps",0,2,7.242,0,0,10,944,1156,0,2502.8,0,4382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"7","retained-comps",0,2,2.276,0,0,0,0,0,0,3976.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"7","retained-comps",0,2,7.346,0,2030.8,0,9.5,3754.55,19,3502,3428.5,5142.75,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"7","retained-comps",0,2,11.556,233.7789,1636.4522,2559.7396,1604.2148,77.9263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,"7","retained-comps",3,2,7.932,0,0,0,0,0,0,0,0,2030.8,244.6667,4366.4667,4594.9333,620,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,"7","retained-comps",3,2,55.012,0,0,26.4,0,0,238.7143,0,2563.7143,17948.4025,21149.83,23481.4978,7184.9508,2056.3821,0,0,0,0,0,238.7143,101.1964,1162.5,2351.4,2351.4,0,1209.5,0
1983,"7","retained-comps",3,2,82.534,0,0,0,0,0,0,0,75.3333,236,9222.2595,26972.2024,23112.031,4407.9477,0,0,0,0,0,0,75.3333,0,0,0,722.7449,2343.7783,1962.7348
