Year,RSTN,SLGR,SRKR,YMTH,STRK,BANK
1889,0.001081767,0,0,0,0,0
1890,0.001235413,0,0,0,0,0
1891,0.002153755,0,0,0,0,0
1892,0.002506085,0,0,0,0,0
1895,0.000216483,0,0,0,0,0
1899,0.000439311,0,0,0,0,0
1904,0.002441825,0,0,0,0,0
1908,0.027352647,0.008547702,0.376098899,0.00170954,0,0
1915,0.017653284,0.005516651,0.242732661,0.00110333,0,0
1918,0.481897107,0.150592846,6.626085221,0.030118569,0,0
1919,0.163293447,0.051029202,2.245284902,0.01020584,0,0
1920,0.13068556,0.040839238,1.796926454,0.008167848,0,0
1921,0.121200025,0.037875008,1.666500349,0.007575002,0,0
1922,0.062124085,0.019413777,0.854206167,0.003882755,0,0
1923,0.080558101,0.025174406,1.107673885,0.005034881,0,0
1924,0.199399443,0.062312326,2.741742341,0.012462465,0,0
1925,0.260180893,0.081306529,3.577487277,0.016261306,0,0
1926,0.431239851,0.134762453,5.929547949,0.026952491,0,0
1927,0.582050421,0.181890757,8.003193294,0.036378151,0,0
1928,0.510346454,0.159483267,7.017263746,0.031896653,0,0
1929,0.297006367,0.09281449,4.083837541,0.018562898,0,0
1930,0.371927432,0.116227323,5.114002195,0.023245465,0,0
1931,0.18740932,0.058565413,2.576878156,0.011713083,0,0
1932,0.160716575,0.05022393,2.209852909,0.010044786,0,0
1933,0.218901035,0.068406573,3.009889233,0.013681315,0,0
1934,0.276283804,0.480114487,3.798902305,0.328093186,0,0
1935,0.198473932,1.762382633,2.717692845,1.354728706,0,0
1936,0.290717493,0.310029846,3.997365532,0.191179251,0,0
1937,0.211715398,0.420971415,2.911086718,0.293300433,0,0
1938,0.261786249,1.127880542,3.599560922,0.842074915,0,0
1939,0.199517014,1.992262612,2.743358946,1.535839827,0,0
1940,0.232791139,2.807447088,3.200878156,2.173174515,0,0
1941,0.421642551,3.098757155,5.797585071,2.368338126,0,0
1942,0.389837342,4.274266767,5.360263447,3.302079814,0,0
1943,0.165054346,105.6023504,2.269497256,83.32642079,0,0
1944,0.338994816,172.8980738,4.661178725,136.4140127,0,0
1945,0.153631294,442.1386764,2.112430296,348.9722105,0,0
1946,0.369968956,197.7845336,5.087073146,156.0523419,0,0
1947,0.193277956,89.89493187,2.657571899,70.92263096,0,0
1948,0.162291856,114.6933844,2.231513023,90.50290312,0,0
1949,0.192600107,95.90142703,2.648251472,75.66396021,0,0
1950,0.293669839,156.5220364,4.037960283,123.4959966,0,0
1951,0.414859704,170.5549473,5.704320926,134.5505026,0,0
1952,0.314096035,262.6368696,3.796846622,56.23858778,0,0
1953,0.153302247,105.4999884,1.487835545,66.79397683,0,0
1954,0.289419583,151.8176155,3.061890031,98.85092769,0,0
1955,0.27655478,155.5869033,2.850893124,102.5234817,0,0
1956,0.147540302,156.4268663,1.096776769,100.3793435,0,0
1957,0.218784416,90.96829962,2.085460533,99.40614187,0,0
1958,0.112591195,151.9116171,0.638040116,98.02773893,0,0
1959,0.153453384,155.6615278,1.53204271,62.25649835,0,0
1960,0.230560595,179.5214796,1.577826564,171.521149,0,0
1961,0.215835518,184.7303766,0.95908592,216.3544893,0,0
1962,0.294547768,297.8169823,1.090370223,318.787415,0,0
1963,0.299362022,231.6773748,0.680930047,370.0158928,0,0
1964,0.286231142,216.3402817,0.911785251,325.7049051,0,0
1965,0.296955394,199.4337803,0.701826165,364.2010699,0,0
1966,0.246363273,502.9181618,0.427043209,318.8695133,0,0
1967,0.257527964,317.7440708,0.34729069,343.9941288,0,0
1968,0.013471347,546.0195724,0.185231015,0.000841959,0,0
1969,0.20182063,719.3305549,0.588903303,85.76893668,0,0
1970,0.304484047,218.904634,0.021035825,43.34276393,0,0
1971,0,178.2415712,0,149.0371222,0,0
1972,0.088314138,211.3984581,0.001117653,120.8233863,0,0
1973,0,167.5807463,0,199.2250231,0,0
1974,0,286.5439715,0,146.5235434,0,0
1975,0,260.7969569,0,142.0498007,0.075963915,0
1976,0,275.6357437,0,160.3170792,0,0
1977,0.133153106,1003.840515,1.830855204,432.2106119,0.193955874,0
1978,4.296138291,1072.156571,2.300808303,12.10392554,0.479272018,0
1979,1.382309002,673.7450043,8.123301068,231.6357806,0.339224344,0
1980,0.250306357,626.6586289,8.125756384,174.3552309,0,0
1981,0.159615527,2.871557783,2.407166895,0.252962789,0,0
1982,0.184218668,2.371167639,3.839507126,0.087260553,0,0
1983,0.186643148,31.09301368,8.402024258,0.227495589,0,0
1984,0.304759307,23.88947048,11.39403175,0.108526551,0,0
1985,0.934108191,13.46240922,18.21743806,0.075620787,0,0
1986,1.022265978,12.62417942,14.8417457,0.200507712,0,0
1987,1.221214243,3.876793379,17.34569857,0.453310858,0,0
1988,0.678998082,39.31512363,11.03504541,2.285794352,0,0
1989,0.354924332,11.9932131,6.436199584,0.055517206,0,0
